date,symbol,name,exchange,industryCode,stock_p20,p_now,p_hist,adv50_vnd,close,rank
2025-03-07,MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,UPCOM,2750,0.8482278312216635,0.8482278312216635,,198800.0,7.4,10
2025-03-07,STW,CTCP Cấp nước Sóc Trăng,UPCOM,7570,0.8479577615767807,0.8479577615767807,,892400.0,39.4,11
2025-03-07,PTE,CTCP Xi măng Phú Thọ,UPCOM,2350,0.8282670490284019,0.8282670490284019,,193600.0,3.4,12
2025-03-07,PVH,CTCP Xây lắp Dầu khí Thanh Hóa,UPCOM,2350,0.8134942956181783,0.9769885912363567,0.65,2241000.0,0.9,13
2025-03-07,DWC,CTCP Cấp nước Đắk Lắk,UPCOM,7570,0.8090156161788598,0.8090156161788598,,1524600.0,15.2,14
2025-03-07,VXT,CTCP Kho vận và Dịch vụ Thương mại,UPCOM,2770,0.7981180246782663,0.7981180246782663,,1560000.0,13.0,15
2025-03-07,C22,CTCP 22,UPCOM,3570,0.7898309548468824,0.7898309548468824,,4860800.0,19.2,16
2025-03-07,CMD,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh,UPCOM,2350,0.7841145484125298,0.8182290968250595,0.75,125750600.0,24.4,17
2025-03-07,NAG,CTCP Tập đoàn Nagakawa,HNX,2350,0.7768306861701237,0.9036613723402476,0.65,6032199800.0,13.3,18
2025-03-07,CDG,CTCP Cầu Đuống,UPCOM,2350,0.7693188327017064,0.7693188327017064,,6800.0,3.4,19
2025-03-07,VTG,CTCP Du lịch tỉnh Bà Rịa - Vũng Tàu,UPCOM,5750,0.7540961707860918,0.7540961707860918,,532200.0,11.3,20
2025-03-10,PTM,CTCP Sản xuất Thương mại và Dịch vụ Ô tô PTM,UPCOM,2750,0.9910486474910476,0.9820972949820951,1.0,1652800.0,3.5,1
2025-03-10,HLS,CTCP Sứ kỹ thuật Hoàng Liên Sơn,UPCOM,2730,0.9716369009711263,0.9716369009711263,,294000.0,24.5,2
2025-03-10,HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà,UPCOM,5370,0.969108446359528,0.969108446359528,,20600.0,10.3,3
2025-03-10,SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội,UPCOM,3570,0.965237552588817,0.965237552588817,,670800.0,10.5,4
2025-03-10,MLC,CTCP Môi trường đô thị tỉnh Lào Cai,UPCOM,7570,0.9602484410808809,0.9602484410808809,,439400.0,22.0,5
2025-03-10,TCK,Tổng Công ty cơ khí xây dựng - CTCP,UPCOM,2350,0.9591554699165233,0.9591554699165233,,163200.0,4.8,6
2025-03-10,LAW,CTCP Cấp thoát nước Long An,UPCOM,7570,0.928159453011973,0.928159453011973,,617400.0,30.1,7
2025-03-10,DWC,CTCP Cấp nước Đắk Lắk,UPCOM,7570,0.9064188692523525,0.9064188692523525,,1851600.0,16.0,8
2025-03-10,CHC,CTCP Cẩm Hà,UPCOM,2350,0.8791494170160336,0.8791494170160336,,453600.0,8.1,9
2025-03-10,QST,CTCP Sách và Thiết bị trường học Quảng Ninh,HNX,5550,0.8711019544945338,0.8711019544945338,,197400.0,21.8,10
2025-03-10,ISG,CTCP Vận tải biển và Hợp tác lao động quốc tế,UPCOM,2770,0.8557181307724772,0.8557181307724772,,685000.0,8.5,11
2025-03-10,SBM,CTCP Đầu tư Phát triển Bắc Minh,UPCOM,7530,0.8556334164702062,0.8556334164702062,,4144200.0,39.1,12
2025-03-10,STW,CTCP Cấp nước Sóc Trăng,UPCOM,7570,0.8489572996566224,0.8489572996566224,,892400.0,39.4,13
2025-03-10,MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,UPCOM,2750,0.8337378498841249,0.8337378498841249,,146000.0,7.4,14
2025-03-10,KHW,CTCP Cấp thoát nước Khánh Hòa,UPCOM,7570,0.823877471228542,0.823877471228542,,6268000.0,35.0,15
2025-03-10,PVH,CTCP Xây lắp Dầu khí Thanh Hóa,UPCOM,2350,0.8126780362126366,0.9753560724252731,0.65,2237000.0,0.9,16
2025-03-10,VXT,CTCP Kho vận và Dịch vụ Thương mại,UPCOM,2770,0.780829872808,0.780829872808,,1560000.0,13.0,17
2025-03-10,MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP,UPCOM,1770,0.7693465637277935,0.9386931274555871,0.6,3362348800.0,25.3,18
2025-03-10,SBT,CTCP Thành Thành Công - Biên Hòa,HSX,3570,0.7606170065906805,0.8712340131813612,0.65,28897527100.0,15.0,19
2025-03-10,JVC,CTCP Đầu tư y tế - Dược phẩm Việt Nam,HSX,4530,0.7553606259527517,0.9607212519055034,0.55,3504046800.0,5.22,20
2025-03-11,PTM,CTCP Sản xuất Thương mại và Dịch vụ Ô tô PTM,UPCOM,2750,0.9910486474910476,0.9820972949820951,1.0,1652800.0,3.5,1
2025-03-11,HLS,CTCP Sứ kỹ thuật Hoàng Liên Sơn,UPCOM,2730,0.9692095230493784,0.9692095230493784,,294000.0,24.5,2
2025-03-11,HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà,UPCOM,5370,0.969108446359528,0.969108446359528,,20600.0,10.3,3
2025-03-11,SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội,UPCOM,3570,0.9688685571877481,0.9688685571877481,,692000.0,10.6,4
2025-03-11,MLC,CTCP Môi trường đô thị tỉnh Lào Cai,UPCOM,7570,0.9578236581543841,0.9578236581543841,,439400.0,22.0,5
2025-03-11,TCK,Tổng Công ty cơ khí xây dựng - CTCP,UPCOM,2350,0.956942615855587,0.956942615855587,,163200.0,4.8,6
2025-03-11,LAW,CTCP Cấp thoát nước Long An,UPCOM,7570,0.923261321196856,0.923261321196856,,617400.0,30.1,7
2025-03-11,TNP,CTCP Cảng Thị Nại,UPCOM,2770,0.8970138805610492,0.8970138805610492,,2709600.0,28.7,8
2025-03-11,DWC,CTCP Cấp nước Đắk Lắk,UPCOM,7570,0.8852864220965356,0.8852864220965356,,1891600.0,16.0,9
2025-03-11,QST,CTCP Sách và Thiết bị trường học Quảng Ninh,HNX,5550,0.8680070707326976,0.8680070707326976,,197400.0,21.8,10
2025-03-11,NWT,CTCP Vận tải Newway,UPCOM,2770,0.8567347659095768,0.8567347659095768,,16000.0,8.0,11
2025-03-11,STW,CTCP Cấp nước Sóc Trăng,UPCOM,7570,0.8543300747832909,0.8543300747832909,,892400.0,39.4,12
2025-03-11,ISG,CTCP Vận tải biển và Hợp tác lao động quốc tế,UPCOM,2770,0.8528895142690593,0.8528895142690593,,685000.0,8.5,13
2025-03-11,CHC,CTCP Cẩm Hà,UPCOM,2350,0.8499608898749145,0.8499608898749145,,453600.0,8.0,14
2025-03-11,NRC,CTCP Tập đoàn NRC,HNX,8630,0.83587276298561,0.7717455259712199,0.9,5363388600.0,5.8,15
2025-03-11,MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,UPCOM,2750,0.8286088905879063,0.8286088905879063,,106000.0,7.4,16
2025-03-11,PVH,CTCP Xây lắp Dầu khí Thanh Hóa,UPCOM,2350,0.8116818758086153,0.9733637516172307,0.65,2237000.0,0.9,17
2025-03-11,DS3,CTCP DS3,HNX,5750,0.8110877219941541,0.7221754439883082,0.9,27660000.0,5.8,18
2025-03-11,JVC,CTCP Đầu tư y tế - Dược phẩm Việt Nam,HSX,4530,0.7985886390674065,0.947177278134813,0.65,3545601300.0,5.29,19
2025-03-11,TOT,CTCP Transimex Logistics,HNX,2770,0.775986553183996,0.7519731063679921,0.8,36637000.0,18.4,20
2025-03-12,PTM,CTCP Sản xuất Thương mại và Dịch vụ Ô tô PTM,UPCOM,2750,0.9910486474910476,0.9820972949820951,1.0,1652800.0,3.5,1
2025-03-12,MLC,CTCP Môi trường đô thị tỉnh Lào Cai,UPCOM,7570,0.9845548475742507,0.9845548475742507,,489400.0,25.0,2
2025-03-12,HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà,UPCOM,5370,0.9682646476583389,0.9682646476583389,,20600.0,10.3,3
2025-03-12,HLS,CTCP Sứ kỹ thuật Hoàng Liên Sơn,UPCOM,2730,0.9666500922425817,0.9666500922425817,,294000.0,24.5,4
2025-03-12,SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội,UPCOM,3570,0.9659738924087379,0.9659738924087379,,692000.0,10.6,5
2025-03-12,TCK,Tổng Công ty cơ khí xây dựng - CTCP,UPCOM,2350,0.9533361305165289,0.9533361305165289,,163200.0,4.8,6
2025-03-12,LAW,CTCP Cấp thoát nước Long An,UPCOM,7570,0.9174129000527464,0.9174129000527464,,617400.0,30.1,7
2025-03-12,TNP,CTCP Cảng Thị Nại,UPCOM,2770,0.8916730262854423,0.8916730262854423,,2709600.0,28.7,8
2025-03-12,QST,CTCP Sách và Thiết bị trường học Quảng Ninh,HNX,5550,0.8613224065477882,0.8613224065477882,,197400.0,21.8,9
2025-03-12,NRC,CTCP Tập đoàn NRC,HNX,8630,0.8542325075248767,0.8584650150497535,0.85,5435557600.0,5.9,10
2025-03-12,NWT,CTCP Vận tải Newway,UPCOM,2770,0.8501489070879787,0.8501489070879787,,16000.0,8.0,11
2025-03-12,ISG,CTCP Vận tải biển và Hợp tác lao động quốc tế,UPCOM,2770,0.8461283760904523,0.8461283760904523,,685000.0,8.5,12
2025-03-12,CHC,CTCP Cẩm Hà,UPCOM,2350,0.8413329745299951,0.8413329745299951,,453600.0,8.0,13
2025-03-12,DWC,CTCP Cấp nước Đắk Lắk,UPCOM,7570,0.8407433303147795,0.8407433303147795,,1891600.0,15.7,14
2025-03-12,STW,CTCP Cấp nước Sóc Trăng,UPCOM,7570,0.8391021991331685,0.8391021991331685,,892400.0,39.4,15
2025-03-12,MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,UPCOM,2750,0.8189703818725865,0.8189703818725865,,106000.0,7.4,16
2025-03-12,PVH,CTCP Xây lắp Dầu khí Thanh Hóa,UPCOM,2350,0.8106530100367595,0.9713060200735191,0.65,2237000.0,0.9,17
2025-03-12,QNW,CTCP Cấp thoát nước và xây dựng Quảng Ngãi,UPCOM,7570,0.8057633148338934,0.8057633148338934,,1233600.0,21.1,18
2025-03-12,TOT,CTCP Transimex Logistics,HNX,2770,0.7734655815809108,0.7469311631618217,0.8,36853400.0,18.4,19
2025-03-12,QNT,CTCP Tư vấn và Đầu tư phát triển Quảng Nam,UPCOM,2790,0.7639143733823758,0.9778287467647515,0.55,2726600.0,13.9,20
2025-03-13,PTM,CTCP Sản xuất Thương mại và Dịch vụ Ô tô PTM,UPCOM,2750,0.9910486474910476,0.9820972949820951,1.0,1652800.0,3.5,1
2025-03-13,MLC,CTCP Môi trường đô thị tỉnh Lào Cai,UPCOM,7570,0.9833114741630423,0.9833114741630423,,489400.0,25.0,2
2025-03-13,HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà,UPCOM,5370,0.9660711120451004,0.9660711120451004,,20600.0,10.3,3
2025-03-13,SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội,UPCOM,3570,0.965028827127304,0.965028827127304,,692000.0,10.6,4
2025-03-13,QST,CTCP Sách và Thiết bị trường học Quảng Ninh,HNX,5550,0.9643554270972428,0.9643554270972428,,1153400.0,23.9,5
2025-03-13,HLS,CTCP Sứ kỹ thuật Hoàng Liên Sơn,UPCOM,2730,0.9639566792650728,0.9639566792650728,,294000.0,24.5,6
2025-03-13,TCK,Tổng Công ty cơ khí xây dựng - CTCP,UPCOM,2350,0.9523938916999499,0.9523938916999499,,163200.0,4.8,7
2025-03-13,LAW,CTCP Cấp thoát nước Long An,UPCOM,7570,0.9127923377817702,0.9127923377817702,,677600.0,30.1,8
2025-03-13,TNP,CTCP Cảng Thị Nại,UPCOM,2770,0.8922338098647067,0.8922338098647067,,2709600.0,28.7,9
2025-03-13,DWC,CTCP Cấp nước Đắk Lắk,UPCOM,7570,0.8753271793631362,0.8753271793631362,,1735600.0,15.7,10
2025-03-13,NWT,CTCP Vận tải Newway,UPCOM,2770,0.8513696216330121,0.8513696216330121,,16000.0,8.0,11
2025-03-13,ISG,CTCP Vận tải biển và Hợp tác lao động quốc tế,UPCOM,2770,0.8473423582569074,0.8473423582569074,,685000.0,8.5,12
2025-03-13,STW,CTCP Cấp nước Sóc Trăng,UPCOM,7570,0.8412738529483843,0.8412738529483843,,892400.0,39.4,13
2025-03-13,CHC,CTCP Cẩm Hà,UPCOM,2350,0.8408648766379619,0.8408648766379619,,453600.0,8.0,14
2025-03-13,TMW,CTCP Tổng hợp Gỗ Tân Mai,UPCOM,3720,0.8377558284457124,0.8377558284457124,,7984000.0,20.0,15
2025-03-13,MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,UPCOM,2750,0.8195478438701044,0.8195478438701044,,94600.0,7.4,16
2025-03-13,MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP,UPCOM,1770,0.8177069081605084,0.7354138163210168,0.9,3465090400.0,22.6,17
2025-03-13,PVH,CTCP Xây lắp Dầu khí Thanh Hóa,UPCOM,2350,0.8125377866764429,0.975075573352886,0.65,2237000.0,0.9,18
2025-03-13,QNW,CTCP Cấp thoát nước và xây dựng Quảng Ngãi,UPCOM,7570,0.8081478447819358,0.8081478447819358,,1161600.0,21.1,19
2025-03-13,NRC,CTCP Tập đoàn NRC,HNX,8630,0.7982322372277303,0.7964644744554605,0.8,5564866000.0,5.7,20
2025-03-14,PTM,CTCP Sản xuất Thương mại và Dịch vụ Ô tô PTM,UPCOM,2750,0.9910486474910476,0.9820972949820951,1.0,1652800.0,3.5,1
2025-03-14,QST,CTCP Sách và Thiết bị trường học Quảng Ninh,HNX,5550,0.9838034770949289,0.9838034770949289,,1467800.0,26.2,2
2025-03-14,MLC,CTCP Môi trường đô thị tỉnh Lào Cai,UPCOM,7570,0.9820267807060393,0.9820267807060393,,456400.0,25.0,3
2025-03-14,HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà,UPCOM,5370,0.9638162427700719,0.9638162427700719,,20600.0,10.3,4
2025-03-14,SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội,UPCOM,3570,0.9630780770878974,0.9630780770878974,,692000.0,10.6,5
2025-03-14,HLS,CTCP Sứ kỹ thuật Hoàng Liên Sơn,UPCOM,2730,0.9611276081698956,0.9611276081698956,,294000.0,24.5,6
2025-03-14,UCT,CTCP Đô thị Cần Thơ,UPCOM,7570,0.951893178554157,0.951893178554157,,61200.0,8.5,7
