date,symbol,name,exchange,industryCode,close,volume,traded_value_vnd,adv_apr_vnd,p_now,p_hist,p20
2026-04-01,DIG,Tổng CTCP Đầu tư Phát triển Xây dựng,HSX,8630,14.3,12468600.0,178300980000.0,146101815250.0,0.30476872188806364,0.4,0.3523843609440318
2026-04-01,DCM,CTCP - Tổng Công ty Phân bón Dầu khí Cà Mau,HSX,1350,45.3,7112700.0,322205310000.0,176126111500.0,0.6519547980386546,0.05,0.35097739901932734
2026-04-01,HHP,CTCP HHP Global,HSX,1730,12.5,339400.0,4242500000.0,10671436750.0,0.35043284649557954,0.35,0.3502164232477898
2026-04-01,BVS,CTCP Chứng khoán Bảo Việt,HNX,8780,27.7,420600.0,11650620000.0,5018899000.0,0.29866760179303675,0.4,0.3493338008965184
2026-04-01,HNM,CTCP Sữa Hà Nội,UPCOM,3570,8.3,350400.0,2908320000.0,3676815500.0,0.6980234705319293,0.0,0.34901173526596463
2026-04-01,PVD,Tổng CTCP Khoan và Dịch vụ Khoan Dầu khí,HSX,0570,34.8,4610200.0,160434960000.0,117829285500.0,0.3469450963262232,0.35,0.3484725481631116
2026-04-01,PAC,CTCP Pin Ắc quy miền Nam,HSX,3720,26.3,785100.0,20648130000.0,14639752250.0,0.64606312383852,0.05,0.34803156191926005
2026-04-01,KBC,Tổng Công ty Phát triển Đô Thị Kinh Bắc - CTCP,HSX,8630,32.2,2197200.0,70749840000.00002,106707670250.0,0.3953890325266183,0.3,0.34769451626330916
2026-04-01,HHV,CTCP Đầu tư Hạ tầng giao thông Đèo Cả,HSX,2350,12.3,6437700.0,79183710000.0,98435743250.0,0.49504859717000854,0.2,0.3475242985850043
2026-04-01,EIB,Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam,HSX,8350,23.4,14700700.0,343996380000.0,283547091000.0,0.6869213071777169,0.0,0.34346065358885847
2026-04-01,G36,Tổng Công ty 36 - CTCP,UPCOM,2350,10.6,148300.0,1571980000.0,2150777500.0,0.3357040687929267,0.35,0.34285203439646333
