date,symbol,name,exchange,industryCode,close,volume,traded_value_vnd,adv_apr_vnd
2026-04-01,VGC,Tổng Công ty Viglacera - CTCP,HSX,2350,46.7,842600.0,39349420000.0,37209391000.0
2026-04-01,NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2,HSX,7530,27.7,1394400.0,38624880000.0,23502847500.0
2026-04-01,VC3,CTCP Tập đoàn Nam Mê Kông,HNX,8630,26.7,1407700.0,37585590000.0,39297601500.0
2026-04-01,BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,HSX,8630,54.1,679800.0,36777180000.0,27752453500.0
2026-04-01,NAF,CTCP Nafoods Group,HSX,3530,49.4,704600.0,34807240000.0,30897026250.0
2026-04-01,FOX,CTCP Viễn thông FPT,UPCOM,6530,87.1,397700.0,34639670000.0,19919778000.0
2026-04-01,E1VFVN30,Quỹ ETF DCVFMVN30,HSX,8990,32.92,1029900.0,33904308000.0,16155582600.0
2026-04-01,BVH,Tập đoàn Bảo Việt,HSX,8570,83.8,390300.0,32707140000.0,52577046500.0
2026-04-01,SSB,Ngân hàng TMCP Đông Nam Á,HSX,8350,17.0,1746800.0,29695600000.0,32732698000.0
2026-04-01,CRC,CTCP Create Capital Việt Nam,HSX,2350,10.2,2653000.0,27060600000.0,34915227200.0
2026-04-01,VHC,CTCP Vĩnh Hoàn,HSX,3570,58.9,452700.0,26664030000.0,54672328500.0
2026-04-01,VVS,CTCP Đầu tư phát triển máy Việt Nam,HSX,2770,115.5,228900.0,26437950000.0,24858803500.0
2026-04-01,DPR,CTCP Cao su Đồng Phú,HSX,1350,40.25,648300.0,26094075000.0,18083265000.0
2026-04-01,DXS,CTCP Dịch vụ Bất động sản Đất Xanh,HSX,8630,7.31,3564700.0,26057957000.0,20239535250.0
2026-04-01,FRT,CTCP Bán lẻ Kỹ thuật số FPT,HSX,5370,157.0,163300.0,25638100000.0,48826186000.0
2026-04-01,MCH,CTCP Hàng tiêu dùng MASAN,HSX,3570,144.0,171100.0,24638400000.0,36678559000.0
2026-04-01,VTZ,CTCP Sản xuất và Thương mại Nhựa Việt Thành,HNX,1350,20.2,1201100.0,24262220000.0,21282963000.0
2026-04-01,BMP,CTCP Nhựa Bình Minh,HSX,1350,131.5,174300.0,22920450000.0,32634709000.0
2026-04-01,MST,CTCP Đầu tư MST,HNX,2350,8.7,2587800.0,22513860000.0,20768241500.0
2026-04-01,ABB,Ngân hàng TMCP An Bình,UPCOM,8350,14.7,1507700.0,22163190000.0,11646136500.0
2026-04-01,TCM,CTCP Dệt may - Đầu tư - Thương mại Thành Công,HSX,3760,23.05,952500.0,21955125000.0,22869501500.0
2026-04-01,TAL,CTCP Đầu tư Bất động sản Taseco,HSX,8630,46.1,475400.0,21915940000.0,11712059500.0
2026-04-01,DPG,CTCP Tập đoàn Đạt Phương,HSX,2350,42.15,513500.0,21644025000.0,30389941500.0
2026-04-01,BWE,CTCP - Tổng Công Ty Nước - Môi Trường Bình Dương,HSX,7570,43.05,498200.0,21447510000.0,11161299500.0
2026-04-01,TV2,CTCP Tư vấn Xây dựng Điện 2,HSX,2790,37.6,563700.0,21195120000.0,16097597750.0
2026-04-01,KSB,CTCP Khoáng sản và Xây dựng Bình Dương,HSX,1770,16.3,1300000.0,21190000000.0,19096425250.0
2026-04-01,IJC,CTCP Phát triển Hạ tầng Kỹ thuật,HSX,8630,10.2,2065900.0,21072180000.0,26524490250.0
2026-04-01,SAB,Tổng CTCP Bia - Rượu - Nước giải khát Sài Gòn,HSX,3530,44.5,469200.0,20879400000.0,34742915250.0
2026-04-01,ANV,CTCP Nam Việt,HSX,3570,23.85,873700.0,20837745000.0,20842920750.0
2026-04-01,PAC,CTCP Pin Ắc quy miền Nam,HSX,3720,26.3,785100.0,20648130000.0,14639752250.0
2026-04-01,BSI,CTCP Chứng khoán BIDV,HSX,8780,37.1,528200.0,19596220000.0,14236373000.0
2026-04-01,SZC,CTCP Sonadezi Châu Đức,HSX,8630,29.15,651100.0,18979565000.0,18207744750.0
2026-04-01,TLG,CTCP Tập đoàn Thiên Long,HSX,3720,48.65,388400.0,18895660000.0,12173497500.0
2026-04-01,VDS,CTCP Chứng khoán Rồng Việt,HSX,8780,14.95,1242400.0,18573880000.0,9485414250.0
2026-04-01,LCG,CTCP Lizen,HSX,2350,9.9,1855800.0,18372420000.0,18666061100.0
2026-04-01,BVB,Ngân hàng TMCP Bản Việt,UPCOM,8350,12.6,1408400.0,17745840000.0,17088588500.0
2026-04-01,SMC,CTCP Đầu tư Thương mại SMC,HSX,1750,12.7,1352900.0,17181830000.0,6639947500.0
2026-04-01,NAB,Ngân hàng TMCP Nam Á,HSX,8350,13.05,1258200.0,16419510000.0,22685905500.0
2026-04-01,AAS,CTCP chứng khoán SmartInvest,UPCOM,8780,8.6,1895900.0,16304740000.0,6826690000.0
2026-04-01,VOS,CTCP Vận tải Biển Việt Nam,HSX,2770,12.8,1270400.0,16261120000.0,13737443750.0
2026-04-01,SBT,CTCP Thành Thành Công - Biên Hòa,HSX,3570,22.3,674000.0,15030200000.0,9999195750.0
2026-04-01,SIP,CTCP Đầu tư Sài Gòn VRG,HSX,8630,61.4,243900.0,14975460000.0,14948458500.0
2026-04-01,FCN,CTCP FECON,HSX,2350,13.1,1139300.0,14924830000.0,12992075250.0
2026-04-01,CSV,CTCP Hóa chất Cơ bản miền Nam,HSX,1350,27.1,547700.0,14842670000.0,15578621000.0
2026-04-01,MSH,CTCP May Sông Hồng,HSX,3760,36.8,403300.0,14841440000.0,8567991250.0
2026-04-01,VGT,Tập đoàn Dệt may Việt Nam,UPCOM,3760,12.3,1163100.0,14306130000.0,8334332000.0
2026-04-01,NTL,CTCP Phát triển đô thị Từ Liêm,HSX,8630,16.25,857000.0,13926250000.0,7986686500.0
2026-04-01,TDP,CTCP Thuận Đức,HSX,1350,29.4,452400.0,13300560000.0,9149152500.0
2026-04-01,MIG,Tổng CTCP Bảo hiểm Quân Đội,HSX,8530,20.2,615900.0,12441180000.0,4774602750.0
2026-04-01,KOS,CTCP Kosy,HSX,8630,39.0,316800.0,12355200000.0,15048106500.0
2026-04-01,TIG,CTCP Tập đoàn Đầu tư Thăng Long,HNX,8630,7.0,1760800.0,12325600000.0,4966233500.0
2026-04-01,CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO,HSX,2350,22.9,527500.0,12079750000.0,13461304250.0
2026-04-01,SCR,CTCP Địa ốc Sài Gòn Thương Tín,HSX,8630,6.33,1906700.0,12069411000.0,11467740700.0
2026-04-01,BVS,CTCP Chứng khoán Bảo Việt,HNX,8780,27.7,420600.0,11650620000.0,5018899000.0
2026-04-01,AGR,CTCP Chứng khoán Agribank,HSX,8780,14.9,762300.0,11358270000.0,5020422750.0
2026-04-01,TIN,Công ty Tài chính Cổ phần Tín Việt,UPCOM,8350,165.0,68800.0,11352000000.0,6392887500.0
2026-04-01,VEA,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP,UPCOM,2750,33.5,333400.0,11168900000.0,8948186500.0
2026-04-01,TCO,CTCP Janus Group,HSX,2770,14.0,795800.0,11141200000.0,5855818000.0
2026-04-01,HID,CTCP Halcom Việt Nam,HSX,2350,5.42,1807100.0,9794482000.0,3336519300.0
2026-04-01,QTP,CTCP Nhiệt điện Quảng Ninh,UPCOM,7530,13.1,743300.0,9737230000.0,7139067000.0
2026-04-01,FUEVFVND,Quỹ ETF DCVFMVN DIAMOND,HSX,8990,37.46,250800.0,9394968000.0,34090812750.0
2026-04-01,YEG,CTCP Tập đoàn Yeah1,HSX,5750,10.15,884200.0,8974630000.0,11071321900.0
2026-04-01,HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,UPCOM,3570,6.1,1445800.0,8819380000.0,25863446000.0
2026-04-01,SBS,CTCP Chứng khoán SBS,UPCOM,8780,5.5,1603500.0,8819250000.0,3190455000.0
2026-04-01,TTA,CTCP Đầu tư Xây dựng và Phát triển Trường Thành,HSX,7530,11.8,746100.0,8803980000.0,6296054250.0
2026-04-01,LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao,HNX,1350,16.9,520100.0,8789690000.0,8304948500.0
2026-04-01,HBC,CTCP Tập đoàn Xây dựng Hòa Bình,UPCOM,2350,5.3,1651600.0,8753480000.0,6025517500.0
